"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1831.51604817055
"FDW14","OUT017",1562.4473007279
"NCN55","OUT010",1894.37025738142
"FDQ58","OUT017",2588.99003845892
"FDY38","OUT027",5171.09934080917
"FDH56","OUT046",1924.60687187112
"FDL48","OUT018",593.23661611255
"FDC48","OUT027",2768.87622465427
"FDN33","OUT045",1502.41936318609
"FDA36","OUT017",3082.50375920714
"FDT44","OUT017",1988.99286754852
"FDQ56","OUT045",1319.8298308934
"NCC54","OUT019",1855.08884169366
"FDU11","OUT049",2046.34349307863
"DRL59","OUT013",891.732247957294
"FDM24","OUT049",2553.8725388271
"FDI57","OUT045",3105.29261765033
"DRC12","OUT018",2761.63543462939
"NCM42","OUT027",3186.60850386889
"FDA46","OUT010",1166.33327114887
"FDA31","OUT013",2815.97594012387
"NCJ31","OUT035",3870.5441590097
"FDG52","OUT046",810.470900201687
"NCL19","OUT019",385.056669815754
"FDS10","OUT035",3021.61689241551
"FDX22","OUT010",1468.88303748281
"NCF19","OUT035",927.261469857322
"NCE06","OUT046",2556.96627291063
"DRC27","OUT046",3853.12383674304
"FDE21","OUT035",2019.90521159492
"NCR42","OUT019",-1344.60752755758
"FDX51","OUT018",2871.76799700401
"NCR06","OUT018",433.002781998505
"FDU31","OUT027",4937.46343338665
"FDU59","OUT017",2724.13795379018
"FDR03","OUT027",4746.07537654575
"FDS49","OUT027",2744.040974523
"FDD48","OUT010",-57.8781371445449
"NCF18","OUT017",3123.91153358731
"NCD43","OUT027",3092.34324687201
"NCD54","OUT018",2005.35989001053
"FDY19","OUT010",-10.4488985112666
"NCY54","OUT017",2824.7141482519
"NCL19","OUT018",2031.06746460367
"FDP23","OUT010",1556.64659388661
"FDC26","OUT013",1807.01650546998
"FDR14","OUT010",-987.164625129728
"NCS41","OUT035",3035.57912478931
"FDF41","OUT035",4028.75607191743
"FDU34","OUT046",1993.0160574815
"DRH11","OUT046",936.236979045528
"FDM03","OUT013",1734.01227743553
"FDS31","OUT017",3031.97703038266
"FDJ20","OUT017",2088.81638736824
"FDV44","OUT027",4498.09227520572
"FDG02","OUT049",3104.84282937509
"FDA09","OUT013",2907.33907270867
"FDT04","OUT013",678.212471998675
"FDL58","OUT019",2274.2474452466
"FDE52","OUT045",1447.5347783135
"FDW12","OUT035",2505.79281440612
"FDL51","OUT017",3543.18178294833
"NCY42","OUT027",3703.55746575465
"FDR07","OUT017",1662.32661127545
"FDN40","OUT045",2376.62983682564
"FDB35","OUT027",2939.35410874765
"FDA22","OUT017",2739.74680179475
"NCL06","OUT046",4109.58493787504
"FDI35","OUT013",2916.35090013154
"NCW42","OUT045",3413.31130817767
"NCX06","OUT049",2948.38979365537
"FDC37","OUT027",3183.43416183986
"FDZ14","OUT018",1721.11448779309
"DRG49","OUT049",3934.87248250855
"NCG06","OUT045",3953.66993875335
"DRC36","OUT045",2731.53154126118
"FDV21","OUT019",55.719844562327
"FDB53","OUT046",2371.23272281293
"DRP47","OUT019",2031.01876335563
"FDA14","OUT013",2365.59434104556
"DRC24","OUT035",2575.90577164973
"FDW21","OUT018",1384.37328913552
"NCH29","OUT046",1556.55192834542
